Neptune Analysis Data Report,,,,,,,,,,
102,05:51:12:993,2.76E-04,4.15E-03,2.87E-04,8.46E-06,7.44E-05,1.82E-02,4.38E+00,5.60E+04,5.60E+04
103,05:51:13:259,3.00E-04,4.43E-03,3.14E-04,5.70E-05,-1.41E-04,1.92E-02,4.34E+00,8.94E+04,8.94E+04
104,05:51:13:526,2.85E-04,4.52E-03,2.32E-04,6.06E-05,8.62E-05,1.99E-02,4.39E+00,-3.71E+05,-3.71E+05
105,05:51:13:792,2.43E-04,4.65E-03,2.68E-04,2.52E-04,3.12E-04,2.04E-02,4.38E+00,0.00E+00,0.00E+00
106,05:51:14:058,3.36E-04,4.72E-03,2.85E-04,1.61E-04,3.45E-04,2.07E-02,4.38E+00,3.87E+05,3.87E+05
107,05:51:14:324,3.06E-04,4.75E-03,2.63E-04,-8.18E-06,1.73E-07,2.10E-02,4.42E+00,7.69E+04,7.69E+04
108,05:51:14:590,2.73E-04,4.81E-03,2.58E-04,5.33E-05,-3.16E-05,2.13E-02,4.43E+00,-3.94E+05,-3.94E+05
109,05:51:14:855,2.74E-04,4.81E-03,2.40E-04,2.05E-04,2.39E-04,2.13E-02,4.43E+00,0.00E+00,0.00E+00
110,05:51:15:121,2.71E-04,4.83E-03,2.56E-04,2.00E-04,1.20E-04,2.14E-02,4.42E+00,0.00E+00,0.00E+00
111,05:51:15:388,2.85E-04,4.90E-03,2.68E-04,-1.05E-05,3.14E-04,2.14E-02,4.37E+00,0.00E+00,0.00E+00
112,05:51:15:654,3.33E-04,4.87E-03,2.94E-04,2.57E-04,1.15E-04,2.14E-02,4.39E+00,0.00E+00,0.00E+00
113,05:51:15:921,2.93E-04,4.81E-03,2.77E-04,5.01E-05,-1.84E-05,2.12E-02,4.41E+00,0.00E+00,0.00E+00
114,05:51:16:187,2.94E-04,4.82E-03,2.04E-04,9.38E-05,2.52E-04,2.11E-02,4.38E+00,0.00E+00,0.00E+00
115,05:51:16:453,3.16E-04,4.79E-03,2.81E-04,1.02E-04,1.86E-04,2.10E-02,4.38E+00,0.00E+00,0.00E+00
116,05:51:16:719,2.67E-04,4.75E-03,2.77E-04,1.95E-04,2.49E-04,2.09E-02,4.40E+00,0.00E+00,0.00E+00
117,05:51:16:985,3.25E-04,4.71E-03,2.24E-04,5.88E-05,7.32E-05,2.08E-02,4.42E+00,3.86E+05,3.86E+05
118,05:51:17:250,3.49E-04,4.76E-03,2.53E-04,1.13E-04,-1.02E-04,2.06E-02,4.33E+00,7.70E+04,7.70E+04
119,05:51:17:516,2.66E-04,4.64E-03,2.78E-04,-3.26E-05,1.60E-04,2.04E-02,4.41E+00,-3.80E+05,-3.80E+05
120,05:51:17:782,3.02E-04,4.58E-03,3.08E-04,2.76E-05,1.59E-04,2.03E-02,4.44E+00,0.00E+00,0.00E+00
121,05:51:18:049,3.18E-04,4.68E-03,2.45E-04,1.90E-04,1.44E-04,2.02E-02,4.32E+00,0.00E+00,0.00E+00
122,05:51:18:315,2.72E-04,4.58E-03,2.36E-04,2.70E-04,1.05E-04,2.02E-02,4.40E+00,0.00E+00,0.00E+00
123,05:51:18:582,3.11E-04,4.56E-03,2.70E-04,3.37E-05,-1.26E-05,2.01E-02,4.42E+00,0.00E+00,0.00E+00
124,05:51:18:848,2.98E-04,4.58E-03,3.03E-04,2.39E-04,1.35E-04,2.00E-02,4.37E+00,0.00E+00,0.00E+00
125,05:51:19:114,2.45E-04,4.55E-03,2.85E-04,1.34E-04,1.43E-04,2.00E-02,4.39E+00,0.00E+00,0.00E+00
126,05:51:19:380,2.67E-04,4.50E-03,2.39E-04,-9.85E-07,1.51E-04,1.98E-02,4.41E+00,0.00E+00,0.00E+00
127,05:51:19:646,3.39E-04,4.55E-03,2.24E-04,1.93E-04,-1.95E-05,1.98E-02,4.35E+00,3.72E+05,3.72E+05
128,05:51:19:911,2.97E-04,4.50E-03,2.61E-04,1.61E-04,2.61E-05,1.97E-02,4.37E+00,5.22E+04,5.22E+04
129,05:51:20:177,2.86E-04,4.44E-03,2.97E-04,1.22E-04,2.44E-04,1.95E-02,4.40E+00,3.59E+04,3.59E+04
130,05:51:20:444,2.91E-04,4.43E-03,2.36E-04,1.33E-04,2.38E-04,1.95E-02,4.40E+00,1.18E+05,1.18E+05
131,05:51:20:710,2.50E-04,4.42E-03,2.67E-04,2.47E-04,-4.29E-05,1.94E-02,4.39E+00,0.00E+00,0.00E+00
132,05:51:20:976,3.10E-04,4.39E-03,2.34E-04,1.21E-04,1.57E-04,1.92E-02,4.38E+00,7.11E+04,7.11E+04
133,05:51:21:243,2.89E-04,4.37E-03,2.15E-04,3.40E-06,1.12E-04,1.91E-02,4.38E+00,-3.59E+05,-3.59E+05
134,05:51:21:509,3.12E-04,4.35E-03,2.84E-04,2.08E-04,6.74E-05,1.91E-02,4.40E+00,3.56E+05,3.56E+05
135,05:51:21:775,3.23E-04,4.36E-03,3.04E-04,7.26E-05,2.67E-04,1.90E-02,4.35E+00,7.06E+04,7.06E+04
136,05:51:22:041,2.64E-04,4.31E-03,2.37E-04,1.52E-04,7.21E-05,1.89E-02,4.37E+00,-3.53E+05,-3.53E+05
137,05:51:22:306,3.04E-04,4.31E-03,2.76E-04,1.59E-04,6.86E-06,1.89E-02,4.39E+00,3.53E+05,3.53E+05
138,05:51:22:572,3.39E-04,4.31E-03,2.49E-04,9.03E-05,1.16E-04,1.88E-02,4.37E+00,6.98E+04,6.98E+04
139,05:51:22:838,3.28E-04,4.29E-03,2.42E-04,6.01E-05,6.19E-05,1.87E-02,4.35E+00,0.00E+00,0.00E+00
140,05:51:23:105,2.79E-04,4.26E-03,2.56E-04,7.04E-05,1.49E-04,1.87E-02,4.38E+00,5.76E+04,5.76E+04
141,05:51:23:371,3.02E-04,4.25E-03,2.53E-04,2.19E-04,1.45E-04,1.85E-02,4.37E+00,8.57E+04,8.57E+04
142,05:51:23:637,3.00E-04,4.21E-03,2.22E-04,-6.02E-05,1.53E-04,1.84E-02,4.37E+00,-3.46E+05,-3.46E+05
143,05:51:23:904,2.41E-04,4.22E-03,2.77E-04,3.84E-05,1.91E-04,1.83E-02,4.35E+00,0.00E+00,0.00E+00
144,05:51:24:170,3.24E-04,4.23E-03,2.78E-04,2.51E-04,8.75E-05,1.83E-02,4.33E+00,0.00E+00,0.00E+00
145,05:51:24:436,3.24E-04,4.23E-03,2.54E-04,2.66E-04,1.33E-04,1.83E-02,4.33E+00,0.00E+00,0.00E+00
146,05:51:24:702,2.65E-04,4.22E-03,2.48E-04,1.82E-04,3.02E-04,1.85E-02,4.38E+00,3.46E+05,3.46E+05
147,05:51:24:967,3.23E-04,4.28E-03,2.69E-04,1.50E-04,1.33E-04,1.85E-02,4.34E+00,6.92E+04,6.92E+04
148,05:51:25:233,3.35E-04,4.24E-03,2.79E-04,7.61E-05,-7.91E-05,1.85E-02,4.37E+00,-3.47E+05,-3.47E+05
149,05:51:25:500,3.14E-04,4.28E-03,2.33E-04,1.59E-04,7.61E-05,1.87E-02,4.36E+00,0.00E+00,0.00E+00
150,05:51:25:766,3.28E-04,4.34E-03,2.95E-04,7.55E-05,-2.84E-05,1.89E-02,4.37E+00,3.55E+05,3.55E+05
151,05:51:26:032,2.85E-04,4.41E-03,2.84E-04,1.22E-04,1.80E-04,1.91E-02,4.33E+00,7.14E+04,7.14E+04
152,05:51:26:298,2.70E-04,4.46E-03,2.24E-04,1.79E-04,1.71E-04,1.93E-02,4.32E+00,-3.65E+05,-3.65E+05
153,05:51:26:564,3.13E-04,4.46E-03,2.88E-04,2.05E-04,1.01E-04,1.95E-02,4.37E+00,3.66E+05,3.66E+05
154,05:51:26:831,2.78E-04,4.49E-03,2.48E-04,1.45E-04,2.59E-04,1.97E-02,4.40E+00,6.07E+04,6.07E+04
155,05:51:27:097,2.87E-04,4.61E-03,2.04E-04,1.81E-04,6.75E-05,2.00E-02,4.35E+00,9.29E+04,9.29E+04
156,05:51:27:362,2.75E-04,4.61E-03,2.59E-04,3.67E-05,1.54E-04,2.03E-02,4.40E+00,-3.78E+05,-3.78E+05
157,05:51:27:628,3.04E-04,4.65E-03,2.72E-04,1.05E-04,-9.33E-06,2.04E-02,4.39E+00,0.00E+00,0.00E+00
158,05:51:27:894,3.58E-04,4.69E-03,2.41E-04,2.13E-04,1.54E-04,2.04E-02,4.35E+00,0.00E+00,0.00E+00
159,05:51:28:161,3.14E-04,4.67E-03,2.78E-04,2.42E-04,9.71E-05,2.05E-02,4.39E+00,1.91E+05,1.91E+05
160,05:51:28:427,2.83E-04,4.73E-03,2.97E-04,-2.93E-05,2.06E-04,2.08E-02,4.40E+00,3.20E+04,3.20E+04
161,05:51:28:693,3.08E-04,4.79E-03,2.37E-04,2.35E-04,2.27E-04,2.09E-02,4.37E+00,4.83E+04,4.83E+04
162,05:51:28:959,2.83E-04,4.78E-03,2.25E-04,2.14E-04,-3.60E-05,2.12E-02,4.43E+00,-1.96E+05,-1.96E+05
163,05:51:29:225,3.04E-04,4.88E-03,2.44E-04,-1.42E-05,1.48E-04,2.14E-02,4.40E+00,0.00E+00,0.00E+00
164,05:51:29:490,2.97E-04,4.90E-03,2.85E-04,1.97E-04,2.00E-04,2.16E-02,4.40E+00,0.00E+00,0.00E+00
165,05:51:29:758,2.62E-04,4.91E-03,3.02E-04,3.94E-05,1.89E-04,2.16E-02,4.41E+00,0.00E+00,0.00E+00
166,05:51:30:023,3.39E-04,4.96E-03,2.80E-04,-7.01E-06,2.72E-04,2.18E-02,4.40E+00,4.06E+05,4.06E+05
167,05:51:30:289,3.13E-04,4.93E-03,2.64E-04,1.07E-04,4.90E-05,2.19E-02,4.44E+00,7.98E+04,7.98E+04
168,05:51:30:555,3.18E-04,4.98E-03,3.00E-04,1.78E-04,1.22E-04,2.19E-02,4.39E+00,0.00E+00,0.00E+00
169,05:51:30:822,2.86E-04,4.99E-03,2.55E-04,1.85E-04,5.33E-05,2.20E-02,4.40E+00,6.75E+04,6.75E+04
170,05:51:31:088,2.90E-04,5.02E-03,2.13E-04,7.94E-05,1.09E-04,2.20E-02,4.38E+00,1.01E+05,1.01E+05
171,05:51:31:354,3.19E-04,5.04E-03,2.74E-04,2.60E-04,1.87E-04,2.22E-02,4.40E+00,4.13E+05,4.13E+05
172,05:51:31:620,2.76E-04,5.06E-03,3.24E-04,6.82E-05,3.22E-05,2.23E-02,4.41E+00,3.73E+04,3.73E+04
173,05:51:31:885,3.10E-04,5.08E-03,2.53E-04,5.60E-05,1.59E-04,2.24E-02,4.42E+00,1.36E+05,1.36E+05
174,05:51:32:151,3.26E-04,5.11E-03,2.61E-04,2.10E-04,2.12E-04,2.24E-02,4.39E+00,4.19E+05,4.19E+05
175,05:51:32:417,2.41E-04,5.13E-03,2.45E-04,1.40E-04,3.76E-04,2.25E-02,4.39E+00,3.78E+04,3.78E+04
176,05:51:32:684,2.66E-04,5.16E-03,2.17E-04,-1.59E-05,3.15E-04,2.26E-02,4.37E+00,1.38E+05,1.38E+05
177,05:51:32:950,3.23E-04,5.17E-03,2.12E-04,1.75E-04,1.80E-04,2.27E-02,4.40E+00,0.00E+00,0.00E+00
178,05:51:33:217,3.39E-04,5.20E-03,2.58E-04,6.76E-05,-9.52E-07,2.28E-02,4.39E+00,6.03E+04,6.03E+04
179,05:51:33:483,3.51E-04,5.23E-03,2.70E-04,2.73E-04,-6.57E-06,2.30E-02,4.40E+00,4.69E+04,4.69E+04
180,05:51:33:749,3.20E-04,5.25E-03,3.04E-04,1.23E-04,2.83E-06,2.32E-02,4.42E+00,-2.15E+05,-2.15E+05
181,05:51:34:015,2.55E-04,5.34E-03,2.73E-04,1.62E-04,2.66E-04,2.35E-02,4.39E+00,0.00E+00,0.00E+00
182,05:51:34:281,2.44E-04,5.39E-03,2.53E-04,1.13E-04,2.41E-04,2.36E-02,4.38E+00,0.00E+00,0.00E+00
183,05:51:34:546,3.10E-04,5.40E-03,2.48E-04,-2.66E-04,-4.04E-05,2.38E-02,4.40E+00,0.00E+00,0.00E+00
184,05:51:34:812,3.31E-04,5.40E-03,2.49E-04,1.93E-04,1.51E-04,2.40E-02,4.45E+00,0.00E+00,0.00E+00
185,05:51:35:078,2.90E-04,5.49E-03,2.91E-04,2.11E-04,2.59E-04,2.41E-02,4.40E+00,0.00E+00,0.00E+00
186,05:51:35:345,2.77E-04,5.54E-03,2.69E-04,2.91E-04,1.26E-04,2.44E-02,4.40E+00,0.00E+00,0.00E+00
187,05:51:35:611,3.21E-04,5.54E-03,2.18E-04,1.74E-04,2.43E-04,2.45E-02,4.42E+00,0.00E+00,0.00E+00
188,05:51:35:878,3.04E-04,5.55E-03,2.47E-04,7.02E-05,-1.57E-06,2.47E-02,4.44E+00,0.00E+00,0.00E+00
189,05:51:36:144,2.91E-04,5.59E-03,2.33E-04,9.41E-05,-3.35E-06,2.47E-02,4.41E+00,4.58E+05,4.58E+05
190,05:51:36:410,2.76E-04,5.63E-03,2.64E-04,-3.47E-05,2.96E-04,2.48E-02,4.40E+00,9.11E+04,9.11E+04
191,05:51:36:676,2.93E-04,5.63E-03,2.89E-04,1.72E-04,2.25E-04,2.49E-02,4.43E+00,0.00E+00,0.00E+00
192,05:51:36:942,2.98E-04,5.63E-03,2.79E-04,-1.51E-04,1.12E-04,2.49E-02,4.42E+00,9.12E+04,9.12E+04
193,05:51:37:207,3.42E-04,5.67E-03,2.91E-04,1.26E-04,1.83E-04,2.49E-02,4.40E+00,-4.64E+05,-4.64E+05
194,05:51:37:473,2.95E-04,5.69E-03,2.56E-04,1.96E-04,1.03E-04,2.50E-02,4.39E+00,4.66E+05,4.66E+05
195,05:51:37:740,2.47E-04,5.72E-03,2.39E-04,1.32E-04,2.27E-04,2.52E-02,4.40E+00,9.26E+04,9.26E+04
196,05:51:38:006,2.49E-04,5.73E-03,2.59E-04,1.91E-05,3.56E-05,2.53E-02,4.41E+00,-4.70E+05,-4.70E+05
197,05:51:38:273,3.76E-04,5.75E-03,2.30E-04,9.77E-06,2.29E-04,2.54E-02,4.41E+00,0.00E+00,0.00E+00
198,05:51:38:539,3.42E-04,5.74E-03,2.55E-04,1.46E-05,1.80E-04,2.57E-02,4.47E+00,0.00E+00,0.00E+00
199,05:51:38:805,2.66E-04,5.83E-03,2.87E-04,3.14E-04,5.74E-05,2.58E-02,4.43E+00,0.00E+00,0.00E+00
200,05:51:39:071,3.02E-04,5.80E-03,2.69E-04,1.63E-04,1.13E-04,2.56E-02,4.42E+00,0.00E+00,0.00E+00
***,Cup,L4,L3,L2,C,H3,H4,H4 | L3,L3 | IC2,L3 | 
***,Info,tbdgyT,tbdgyT,tbdgyT,tbdgyT,tbdgyT,tbdgyT,tbdgyT - St,tbdgyT - St,tbdgyT - St
***,Blank,No BLK,No BLK,No BLK,No BLK,No BLK,No BLK,,,
***,Standard,No STD,No STD,No STD,No STD,No STD,No STD,No STD,No STD,No STD
***,Mean,2.91E-04,2.68E-03,2.55E-04,1.09E-04,1.27E-04,1.13E-02,3.31E+00,1.67E+04,1.67E+04
***,StdErr (%),6.95E-01,5.82E+00,7.82E-01,6.01E+00,5.70E+00,6.39E+00,2.42E+00,6.10E+01,6.10E+01
***,StdErr (abs),2.02E-06,1.56E-04,1.99E-06,6.54E-06,7.21E-06,7.20E-04,8.02E-02,1.02E+04,1.02E+04
***,StdDev (%),9.77E+00,8.19E+01,1.10E+01,8.46E+01,8.02E+01,8.99E+01,3.41E+01,8.58E+02,8.58E+02
***,StdDev (abs),2.85E-05,2.19E-03,2.80E-05,9.21E-05,1.01E-04,1.01E-02,1.13E+00,1.44E+05,1.44E+05
***,Valid Values,200(200),200(200),200(200),200(200),200(200),200(200),200(200),200(200),200(200)
***,ExtErr,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
***,Standard StdErr (%),,,,,,,,,